id,isbn,title,all_authors,publisher,publication_date,author_gender,format,category,orthography
SvB_BS_168,9789173488594,Bombmakaren och hans kvinna,Leif G.W. Persson,Bonnier Audio,2015-07-27,M,bestseller,CRIME,dash
SvB_BS_169,9789176517321,Britt-Marie var här,Fredrik Backman,Bonnier Audio,2017-07-01,M,bestseller,OTHER,dash
SvB_BS_170,9789164233202,Mördar-Anders och hans vänner (samt en och annan ovän),Jonas Jonasson,Piratförlaget,2015-09-24,M,bestseller,OTHER,dash
SvB_BS_171,9789176510742,Allt jag inte minns,Jonas Hassen Khemiri,Bonnier Audio,2015-09-01,M,bestseller,PRESTIGE,dash
SvB_BS_172,9789176510629,STHLM DELETE,Jens Lapidus,Bonnier Audio,2015-10-07,M,bestseller,CRIME,quot
SvB_BS_173,9789164233196,Det är något som inte stämmer,Martina Haag,Piratförlaget,2015-11-20,F,bestseller,OTHER,dash
SvB_BS_174,9789173487962,Playground,Lars Kepler,Bonnier Audio,2015-10-21,2,bestseller,CRIME,quot
SvB_BS_175,9789164233158,Järnblod,Liza Marklund,Piratförlaget,2015-06-18,F,bestseller,CRIME,dash
SvB_BS_176,9789187343933,Arvet efter dig,Jojo Moyes,Printz Publishing,2015-12-25,F,bestseller,OTHER,quot
SvB_BS_177,9789164233004,Björndansen,Roslund & Thunberg,Piratförlaget,2014-05-28,M,bestseller,CRIME,dash
SvB_BS_178,9789113067537,Liv till varje pris,Kristina Sandberg,Norstedts,2014-11-27,F,bestseller,PRESTIGE,other
SvB_BS_179,9789176510926,Konsten att höra hjärtslag,Jan-Philipp Sendker,Bonnier Audio,2015-07-17,M,bestseller,OTHER,quot
SvB_BS_180,9789187343858,Etthundra mil,Jojo Moyes,Printz Publishing,2015-10-13,F,bestseller,OTHER,quot
SvB_BS_181,9789187343759,Sista brevet från din älskade,Jojo Moyes,Printz Publishing,2015-07-16,F,bestseller,OTHER,quot
SvB_BS_182,9789187377860,Visning pågår,Sofie Sarenbrant,Stockholm Text,2014-04-02,F,bestseller,CRIME,quot
SvB_BS_183,9789113067513,Att föda ett barn,Kristina Sandberg,Norstedts,2014-12-23,F,bestseller,OTHER,other
SvB_BS_184,9789164233066,Lotus blues,Kristina Ohlsson,Piratförlaget,2014-10-02,F,bestseller,CRIME,dash
SvB_BS_185,9789173488136,Offer utan ansikte,Stefan Ahnhem,Bonnier Audio,2014-06-25,M,bestseller,CRIME,quot
SvB_BS_186,9789176470008,Öppnas i händelse av min död,Liane Moriarty,Bonnier Audio,2015-04-08,F,bestseller,OTHER,quot
SvB_BS_187,9789127141070,Stoner,John Williams,Natur & Kultur,2014-07-03,M,bestseller,OTHER,quot
SvB_BS_188,9789173377508,I skymningen sjunger koltrasten,Linda Olsson,Brombergs,2015-12-17,F,bestseller,OTHER,quot
SvB_BS_189,9789173487986,I maktens skugga,Viveca Sten,Bonnier Audio,2014-05-15,F,bestseller,CRIME,quot
SvB_BS_190,9789175232508,Jakthundarna,Jørn Lier Horst,Word Audio Publishing,2014-03-27,M,bestseller,CRIME,quot
SvB_BS_191,9789113050881,Den stumma flickan,"Hans Rosenfeldt, Michael Hjorth",Norstedts,2014-09-25,M,bestseller,CRIME,quot
SvB_BS_192,9789164233325,Tre minuter,Roslund & Hellström,Piratförlaget,2016-05-26,M,bestseller,CRIME,dash
SvB_BS_193,9789176512579,Kaninjägaren,Lars Kepler,Bonnier Audio,2016-10-24,2,bestseller,CRIME,dash
SvB_BS_194,9789176513354,Kan man dö två gånger? : En roman om ett brott,Leif G.W. Persson,Bonnier Audio,2016-09-23,M,bestseller,CRIME,dash
SvB_BS_195,9789164233356,Äkta amerikanska jeans,Jan Guillou,Piratförlaget,2016-08-31,M,bestseller,OTHER,other
SvB_BS_196,9789176512524,Simma med de drunknade,Lars Mytting,Bonnier Audio,2016-04-21,M,bestseller,OTHER,quot
SvB_BS_198,9789187885181,Avdelning 73,Sofie Sarenbrant,Word Audio Publishing,2015-04-21,F,bestseller,CRIME,quot
SvB_BS_199,9789176511978,Det andra ansiktet,Mari Jungstedt,Bonnier Audio,2016-05-12,F,bestseller,CRIME,dash
SvB_BS_200,9789176512197,Störst av allt,Malin Persson Giolito,Bonnier Audio,2016-06-20,F,bestseller,CRIME,quot
SvB_BS_201,9789176511565,Snövit ska dö,Nele Neuhaus,Bonnier Audio,2015-12-22,F,bestseller,CRIME,quot
SvB_BS_202,9789188345639,Glöm mig,Alex Schulman,Stockholm Text,2016-10-06,M,bestseller,OTHER,quot
SvB_BS_204,9789127147362,I varje ögonblick är vi fortfarande vid liv,Tom Malmquist,Natur & Kultur,2015-10-08,M,bestseller,PRESTIGE,other
SvB_BS_205,9789176512814,Kvinna inför rätta,Louise Doughty,Bonnier Audio,2016-05-31,F,bestseller,CRIME,quot
SvB_BS_206,9789187885358,Tiggaren,Sofie Sarenbrant,Word Audio Publishing,2016-05-23,F,bestseller,CRIME,quot
SvB_BS_207,9789188345851,Bakom din rygg,Sofie Sarenbrant,Stockholm Text,2017-05-22,F,bestseller,CRIME,quot
SvB_BS_208,9789164233745,1968,Jan Guillou,Piratförlaget,2017-08-24,M,bestseller,OTHER,quot
SvB_BS_210,9789176512623,Arton grader minus,Stefan Ahnhem,Bonnier Audio,2016-10-13,M,bestseller,CRIME,quot
SvB_BS_211,9789176518359,Återstoden av dagen,Kazuo Ishiguro,Bonnier Audio,2017-11-22,M,bestseller,PRESTIGE,quot
SvB_BS_213,9789176511282,Hjärtats innersta röst,Jan-Philipp Sendker,Bonnier Audio,2016-03-09,M,bestseller,OTHER,quot
SvB_BS_214,9789174616644,Vänd dig inte om,Tove Alsterdal,Lind & Co,2016-08-22,F,bestseller,CRIME,quot
SvB_BS_215,9789113087009,De kommer att drunkna i sina mödrars tårar,Johannes Anyuru,Norstedts,2018-03-29,M,bestseller,PRESTIGE,quot
SvB_BS_216,9789176517086,Björnstad,Fredrik Backman,Bonnier Audio,2017-07-01,M,bestseller,OTHER,dash
SvB_BS_217,9789173431774,Italienska skor,Henning Mankell,Leopard Förlag,2018-02-23,M,bestseller,OTHER,dash
SvB_BS_218,9789173480888,Krigets gudar : Kejsaren IV,Conn Iggulden,Bonnier Audio,2009-10-13,M,bestseller,OTHER,quot
SvB_BS_219,9789113052953,Vänaste land,Åke Edwardson,Norstedts,2007-03-01,M,bestseller,CRIME,quot
SvB_BS_220,9789173481380,I denna ljuva sommartid,Mari Jungstedt,Bonnier Audio,2007-10-25,F,bestseller,CRIME,dash
SvB_BS_221,9789173134330,Lyckans hjul,Kajsa Ingemarsson,Norstedts,2007-08-01,F,bestseller,OTHER,quot
SvB_BS_222,9789164231659,Flickan under gatan,Roslund & Hellström,Piratförlaget,2007-09-01,M,bestseller,CRIME,dash
SvB_BS_223,9789173481441,Tröstaren,Karin Wahlberg,Bonnier Audio,2007-09-21,F,bestseller,CRIME,dash
SvB_BS_224,9789173481618,Skumtimmen,Johan Theorin,Bonnier Audio,2007-09-21,M,bestseller,CRIME,quot
SvB_BS_225,9789173483094,Tårtgeneralen,"Filip Hammar, Fredrik Wikingsson",Bonnier Audio,2009-11-20,M,bestseller,OTHER,quot
SvB_BS_226,9789100185978,Ängelns lek,Carlos Ruiz Zafon,Bonnier Audio,2020-04-14,M,bestseller,OTHER,dash
SvB_BS_227,9789173483056,Matthandlare Olssons död,Karin Wahlberg,Bonnier Audio,2009-11-13,F,bestseller,CRIME,quot
SvB_BS_228,9789173483421,Bergens väktare : Erövraren III,Conn Iggulden,Bonnier Audio,2009-11-03,M,bestseller,OTHER,quot
