id,title,all_authors,author_gender,category,format,style,wc,inquote,nframe,NN_QI,NN_NF,VB_QI,VB_NF,JJ_QI,JJ_NF,RG_QI,RG_NF,RO_QI,RO_NF,PP_QI,PP_NF,VERB_QI,VERB_NF,AUX_QI,AUX_NF,ADV_QI,ADV_NF,PROPN_QI,PROPN_NF,CCONJ_QI,CCONJ_NF,SCONJ_QI,SCONJ_NF,INTJ_QI,INTJ_NF,p1_QI,p1_NF,p2_QI,p2_NF,p3_QI,p3_NF,neg_QI,neg_NF,VBPRT_QI,VBPRT_NF,VBPRS_QI,VBPRS_NF,VBSUP_QI,VBSUP_NF,VBIMP_QI,VBIMP_NF,VBINF_QI,VBINF_NF,VBSFO_QI,VBSFO_NF,NNIND_QI,NNIND_NF,NNDEF_QI,NNDEF_NF,NNSIN_QI,NNSIN_NF,NNPLU_QI,NNPLU_NF,JJSUV_QI,JJSUV_NF,JJKOM_QI,JJKOM_NF
SvB_BS_248,Det lilla bageriet på strandpromenaden,Jenny Colgan,F,OTHER,bestseller,quot,125838,38290,78405,83285,137632,200444,191149,38104,54002,1828,2283,627,536,44502,91257,140637,147057,60198,44500,93941,92583,20293,34832,44215,45584,35832,25572,35231,1059,45364,880,28754,395,17681,66271,15853,8915,137199,713885,464104,14212,37524,88410,166645,3069,194528,180423,19414,42837,679523,528589,314519,468631,810285,773700,183757,223612,34955,32121,39753,46056
SvB_BS_249,Mannen som sökte sin skugga,David Lagercrantz,M,CRIME,bestseller,quot,128543,39893,80938,101070,144197,187827,173985,40458,46245,2131,4077,351,778,64999,93392,133758,132422,54446,41884,91294,89748,35746,43391,52290,64173,30958,23178,8899,222,41611,3435,21808,297,29328,72438,13361,12096,267316,707286,376218,31530,69665,97429,113039,1207,172294,162193,52716,66894,679067,598663,312500,397224,790675,789821,200893,206152,35936,27785,53284,50761
SvB_BS_250,Begynnelse,Dan Brown,M,CRIME,bestseller,quot,161978,47786,89045,137948,182941,189867,166545,42858,60228,3390,4964,712,797,74708,110753,131524,130496,58595,36319,74771,75333,38338,57263,38233,36218,38610,23774,11363,606,44448,5256,21617,1482,14628,35780,10212,5233,170396,655630,429957,81052,64367,105732,111870,4248,222859,153068,39678,63115,685073,578699,303853,415592,789745,790915,199333,203376,50293,43259,34668,35055
SvB_BS_251,Häxan,Camilla Läckberg,F,CRIME,bestseller,quot,241975,90877,144213,102160,138337,203517,203054,33551,41591,2905,2392,517,742,63008,94936,140773,154508,62953,48789,91101,81456,28467,50169,44049,46979,36445,25740,21568,596,48626,146,20973,55,27873,76595,13601,10013,220708,707100,400487,6966,75858,104805,103217,3073,199243,177851,36280,38316,650474,517494,327660,478596,797178,786015,181064,210226,41981,37513,42637,57352
SvB_BS_252,Det förlorade barnet,Elena Ferrante,F,PRESTIGE,bestseller,quot,176276,20683,81642,70638,127055,212687,192548,29928,49913,2127,2940,145,772,54634,95355,143306,138287,69622,55106,81323,82519,20935,23836,49509,53992,34424,37775,16342,502,44239,62848,46560,735,27656,47880,20645,11955,92294,632125,507615,51399,63878,116158,138213,1718,196863,197964,15458,37659,774812,664803,220397,332594,776181,767088,219028,230406,33926,26012,53312,50307
SvB_BS_253,"Den som stannar, den som går",Elena Ferrante,F,OTHER,bestseller,quot,154759,21571,70015,69121,128701,209309,191430,31477,49961,2086,2271,232,614,49372,94365,141996,139299,67498,52974,87015,79369,17431,25095,45895,56702,32451,35778,17431,1043,44921,60387,49140,2057,23457,46833,19981,11997,105426,630083,502547,61777,64009,103783,146401,3283,180952,200328,14839,36708,757881,643214,238766,354789,788062,771391,208585,226834,27982,20297,53019,41452
SvB_BS_254,Top dogg,Jens Lapidus,M,CRIME,bestseller,quot,173293,29013,92535,88857,165354,202151,177155,29780,43411,4136,10104,345,746,51770,94483,140902,129778,61455,47647,92579,87805,22404,47301,46910,30886,30986,25720,16441,551,54562,2788,40499,1426,19819,59804,17061,11153,148679,659794,480989,37760,62916,120783,110315,6466,196760,174953,26939,47093,682312,583949,295966,407032,761055,751977,217611,239135,53241,46303,42824,48046
SvB_BS_255,Törst,Jo Nesbø,M,CRIME,bestseller,quot,185180,76411,83222,115926,160138,191582,186285,34681,42056,4777,5515,811,1454,61758,96970,137441,144301,54482,42297,75774,73298,31697,49518,42101,40530,38385,31434,17707,1502,36579,913,26907,1009,24303,56463,15338,9156,173236,704444,440604,31091,60865,105721,162101,9482,162784,149261,30740,37025,647550,474075,329533,520297,791036,819539,186385,174983,43396,34857,46415,47714
SvB_BS_256,Never let me go,Kazuo Ishiguro,M,PRESTIGE,bestseller,quot,110050,23471,58921,75327,119431,205104,185469,37152,42294,1662,3377,511,1239,54663,98556,133143,134468,72089,51238,103660,105311,21388,23489,41200,50390,37365,43550,10268,187,54663,65291,34681,339,21644,29820,19343,12067,297050,642112,366847,71742,69796,96449,58164,732,207312,188598,27835,43649,706448,564161,283371,430865,744910,773483,244910,222254,34404,38122,44725,58989
SvB_BS_257,Det förlovade landet,Mari Jungstedt,F,CRIME,bestseller,dash,96753,22660,73986,110194,167856,210591,181332,39673,53645,3486,2947,927,743,69241,104993,146955,138269,63989,43224,105737,86516,25684,32114,36628,42157,28906,22991,11650,419,41968,2933,25110,784,22816,61309,13945,7528,167225,684928,445096,41145,65381,105844,161148,3951,160729,163760,45264,55009,632759,507931,360833,489009,809772,769144,183821,227796,41157,33510,36707,39809
SvB_BS_258,Selfies,Jussi Adler-Olsen,M,CRIME,bestseller,quot,173785,59231,95149,103578,157006,179619,168946,33395,47221,5521,6936,642,841,71871,101977,127990,128146,51983,41220,105384,104730,36552,32623,43204,42060,32838,28009,13456,914,39034,1818,29393,704,28735,60568,15127,10836,201053,664697,434533,27683,82433,109238,99727,6843,181596,190420,26788,40187,609128,546154,382396,451904,792339,778365,199674,219693,46512,47630,42973,44291
SvB_BS_259,Sommar på strandpromenaden,Jenny Colgan,F,OTHER,bestseller,quot,121719,44362,73117,85997,135249,198143,191310,39200,52177,2299,2448,451,670,47969,92222,138858,147394,59488,44217,91745,94041,19950,40811,44159,45037,35999,26533,32145,957,46684,1094,30567,397,18935,62940,16523,10408,143686,720046,454380,16586,39135,82714,158703,2645,203754,178010,20478,40678,695413,526545,290433,469006,784010,781373,202621,214076,42553,38008,47729,42726
